Vertex	Distance	Predecessor
106	2.14748365E9		-1
107	2.14748365E9		-1
108	2.14748365E9		-1
109	2.14748365E9		-1
110	2.14748365E9		-1
111	2.14748365E9		-1
112	2.14748365E9		-1
113	2.14748365E9		-1
114	2.14748365E9		-1
115	2.14748365E9		-1
116	2.14748365E9		-1
117	2.14748365E9		-1
118	2.14748365E9		-1
119	2.14748365E9		-1
120	2.14748365E9		-1
121	2.14748365E9		-1
122	2.14748365E9		-1
123	2.14748365E9		-1
124	2.14748365E9		-1
125	2.14748365E9		-1
126	2.14748365E9		-1
127	2.14748365E9		-1
128	2.14748365E9		-1
129	2.14748365E9		-1
130	2.14748365E9		-1
131	2.14748365E9		-1
132	2.14748365E9		-1
133	2.14748365E9		-1
134	2.14748365E9		-1
135	2.14748365E9		-1
136	2.14748365E9		-1
137	2.14748365E9		-1
138	2.14748365E9		-1
139	2.14748365E9		-1
140	2.14748365E9		-1
141	2.14748365E9		-1
142	2.14748365E9		-1
143	2.14748365E9		-1
144	2.14748365E9		-1
145	2.14748365E9		-1
146	2.14748365E9		-1
147	2.14748365E9		-1
148	2.14748365E9		-1
149	2.14748365E9		-1
150	2.14748365E9		-1
151	2.14748365E9		-1
152	2.14748365E9		-1
153	2.14748365E9		-1
154	2.14748365E9		-1
155	2.14748365E9		-1
156	2.14748365E9		-1
157	2.14748365E9		-1
158	2.14748365E9		-1
159	2.14748365E9		-1
160	2.14748365E9		-1
161	2.14748365E9		-1
162	2.14748365E9		-1
163	2.14748365E9		-1
164	2.14748365E9		-1
165	2.14748365E9		-1
166	2.14748365E9		-1
167	2.14748365E9		-1
168	2.14748365E9		-1
169	2.14748365E9		-1
170	2.14748365E9		-1
171	2.14748365E9		-1
172	2.14748365E9		-1
173	2.14748365E9		-1
174	2.14748365E9		-1
175	2.14748365E9		-1
176	2.14748365E9		-1
177	2.14748365E9		-1
178	2.14748365E9		-1
179	2.14748365E9		-1
180	2.14748365E9		-1
181	2.14748365E9		-1
182	2.14748365E9		-1
183	2.14748365E9		-1
184	2.14748365E9		-1
185	2.14748365E9		-1
186	2.14748365E9		-1
187	2.14748365E9		-1
188	2.14748365E9		-1
189	2.14748365E9		-1
190	2.14748365E9		-1
191	2.14748365E9		-1
192	2.14748365E9		-1
193	2.14748365E9		-1
194	2.14748365E9		-1
195	2.14748365E9		-1
196	2.14748365E9		-1
197	2.14748365E9		-1
198	2.14748365E9		-1
199	2.14748365E9		-1
200	2.14748365E9		-1
201	2.14748365E9		-1
202	2.14748365E9		-1
203	2.14748365E9		-1
204	2.14748365E9		-1
205	2.14748365E9		-1
206	2.14748365E9		-1
207	2.14748365E9		-1
208	2.14748365E9		-1
209	2.14748365E9		-1
210	2.14748365E9		-1
211	2.14748365E9		-1
212	2.14748365E9		-1
213	2.14748365E9		-1
214	2.14748365E9		-1
215	2.14748365E9		-1
216	2.14748365E9		-1
217	2.14748365E9		-1
218	2.14748365E9		-1
219	2.14748365E9		-1
220	2.14748365E9		-1
221	2.14748365E9		-1
222	2.14748365E9		-1
223	2.14748365E9		-1
224	2.14748365E9		-1
225	2.14748365E9		-1
226	2.14748365E9		-1
227	2.14748365E9		-1
228	2.14748365E9		-1
229	2.14748365E9		-1
230	2.14748365E9		-1
231	2.14748365E9		-1
232	2.14748365E9		-1
233	2.14748365E9		-1
234	2.14748365E9		-1
235	2.14748365E9		-1
236	2.14748365E9		-1
237	2.14748365E9		-1
238	2.14748365E9		-1
239	2.14748365E9		-1
240	2.14748365E9		-1
241	2.14748365E9		-1
242	2.14748365E9		-1
243	2.14748365E9		-1
244	2.14748365E9		-1
245	2.14748365E9		-1
246	2.14748365E9		-1
247	2.14748365E9		-1
248	2.14748365E9		-1
249	2.14748365E9		-1
250	2.14748365E9		-1
251	2.14748365E9		-1
252	2.14748365E9		-1
253	2.14748365E9		-1
254	2.14748365E9		-1
255	2.14748365E9		-1
256	2.14748365E9		-1
257	2.14748365E9		-1
258	2.14748365E9		-1
259	2.14748365E9		-1
260	2.14748365E9		-1
261	2.14748365E9		-1
262	2.14748365E9		-1
263	2.14748365E9		-1
264	2.14748365E9		-1
265	2.14748365E9		-1
266	2.14748365E9		-1
267	2.14748365E9		-1
268	2.14748365E9		-1
269	2.14748365E9		-1
270	2.14748365E9		-1
271	2.14748365E9		-1
272	2.14748365E9		-1
273	2.14748365E9		-1
274	2.14748365E9		-1
275	2.14748365E9		-1
276	2.14748365E9		-1
277	2.14748365E9		-1
278	2.14748365E9		-1
279	2.14748365E9		-1
280	2.14748365E9		-1
281	2.14748365E9		-1
282	2.14748365E9		-1
283	2.14748365E9		-1
284	2.14748365E9		-1
285	2.14748365E9		-1
